running TARSItemKNNLee_W3, TARSItemKNNLee_W5, TARSItemKNNLiu, TARSItemKNNDing, TARSItemKNNLiu2012, TARSItemKNNVaz, TARSItemKNNexponential, TARSItemKNNlog, TARSItemKNNlinear, TARSItemKNNconcave, TARSItemKNNinverse on amazon_games
>> Loading dataset
<< Loaded dataset
dataset shape = (42480, 14817)
>> Splitting dataset
<< Split dataset
>> Running pipeline
2023-01-10 07:11:56,945 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.487s
2023-01-10 07:11:57,549 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.482s
2023-01-10 07:11:58,197 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.484s
2023-01-10 07:11:59,053 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.683s
2023-01-10 07:12:00,031 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.678s
2023-01-10 07:12:00,815 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.685s
2023-01-10 07:12:01,602 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.681s
2023-01-10 07:12:02,394 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.679s
2023-01-10 07:12:03,218 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.684s
2023-01-10 07:12:04,063 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.688s
2023-01-10 07:12:04,953 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.687s
2023-01-10 07:12:05,907 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 0.67s
2023-01-10 07:12:08,031 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.83s
2023-01-10 07:12:10,467 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.83s
2023-01-10 07:12:12,538 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.84s
2023-01-10 07:12:14,620 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.84s
2023-01-10 07:12:16,729 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.85s
2023-01-10 07:12:18,894 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.86s
2023-01-10 07:12:21,106 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.87s
2023-01-10 07:12:23,386 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.86s
2023-01-10 07:12:25,834 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 1.85s
2023-01-10 07:12:28,467 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.03s
2023-01-10 07:12:31,136 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.04s
2023-01-10 07:12:33,419 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.03s
2023-01-10 07:12:35,723 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.04s
2023-01-10 07:12:38,044 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.04s
2023-01-10 07:12:40,392 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.03s
2023-01-10 07:12:42,772 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.02s
2023-01-10 07:12:45,273 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.05s
2023-01-10 07:12:47,930 - base - recpack - INFO - Fitting TARSItemKNNLiu complete - Took 2.04s
